question,answer,category,difficulty
"All of the clocks in this game display 17 hours. In this game, giving Morusque eight sheets of music earns the protagonist the music badge. The protagonist is betrayed by Blazer in this game and captured by the Sentinels. In this game’s 11th chapter, after the protagonist helps her escape from jail, Clementine installs an atomic battery on a train. The protagonist is opposed by swarms of evolved bacteria called Zurks in this game. The flying drone  B12 is revealed to be the uploaded consciousness of The Scientist at the end of this game, which takes place in an underground city populated only by robot Companions after a plague has wiped out humanity. For 10 points, name this 2022 Annapurna Interactive game in which you play as a feral cat.",Stray ,Trash,4
"In the second season of this TV series, the main character is attacked by an alligator while The Twinkie sinks as the tide comes in. In this series’s third season, the main characters are stranded on a deserted island until they’re rescued by someone working for Carlos Singh. The protagonists of this series look for the lost  treasure of the Royal Merchant hidden by Denmark Tanny, and Ward Cameron steals the gold found by the protagonists in this series. Pope recovers the Cross of Santo Domingo with the Pogues in this series. John B and Sarah fall in love in, for 10 points, what Netflix series about treasure hunting teenagers on a namesake North Carolina island?",Outer Banks  ,Trash,4
"The British counterpart of this entity is named Mayfair, while it is replaced by Common Comforts Hotel in another setting subtitled “Winning is For Capitalists.” This entity’s location was filled by “The Public Highway” in Elizabeth Magie’s Landlord’s Game, and it is believed to have later been added by Charles Darrow. A card that depicts a wailing baby being pushed in a stroller requires one to  ‘advance to’ this location. This location offers a lower return on investment than a set of locations that includes St. James Place. This location is found between the Luxury Tax and GO spaces. For 10 points, name this property that is paired with Park Place in the Dark Blue color set, the most expensive property on the standard American Monopoly board.",Boardwalk ,Trash,4
"In August 2022, this team’s Brett Baty homered in his first career at-bat. Earlier in the 2022 season, this team recorded their first no-hitter since Johan Santana controversially threw 134 pitches to complete one in 2012. One player for this team claimed that he’s the “best power hitter on the planet” after winning his second consecutive Home Run Derby in 2021. This team’s All-Star closer gained fame during the 2022 season for entering games to “Narco” by Timmy  Trumpet. Despite winning 101 games in 2022, this team was eliminated by the Padres in the Wild Card round. Owner Steve Cohen has pushed this team’s payroll to a league-high $344 million. Batting champion Jeff McNeil, first baseman Pete Alonso, and closer Edwin Diaz lead, for 10 points, what NL East team that plays the “Subway Series” against their rival Yankees.",: New York Mets ,Trash,4
"Three of these characters dress up as a family and go to a supermarket to find a toy they call “papoy.” In a post-credits scene, four of these characters sing a rendition of The Beach Boys’ “Barbara Ann.” After baking a cupcake that looks like them, one of these characters is attacked by Lucy. These characters are naturally inclined to work with people such as Napoleon and Scarlet   Overkill. In the second film in which these characters appear, a jelly serum restores them from their evil purple state. The protagonists of two films named for these creatures are Kevin, Stuart, and Bob. For 10 points, name these banana-obsessed creatures whose current leader is Gru.", Minions,Trash,4
"A song from this album references Janet Jackson’s song “All for You” in the bridge. Burlesque dancer Dita Von Teese played the fairy godmother in a Cinderella-themed music video for a song on this album.“The Great War” was included on this album’s  “3am Edition.” This Jack Antonoff-produced album is the latest album after the artist’s two previous alt folk efforts, evermore and folklore. TicketMaster crashed during the ticket presale for this album’s supporting tour, the Eras Tour. For 10 points, name this tenth studio album by Taylor Swift, which was released in October 2022.",Midnights,Trash,4
"The world’s largest location of this franchise is located in a former rail station in Baku. This franchise sponsored a 2019 game in which the player tries to date this franchise’s founder. People frequently eat food from this franchise in a Japanese Christmas tradition. This franchise’s secret  “Original Recipe” consists of“11 herbs and spices.” This franchise is often found in combination restaurants alongside Pizza Hut or Taco Bell. This franchise’s signature product is often found in red-and-white paper buckets. For 10 points, name this “finger lickin’ good” franchise founded by Colonel Harland Sanders.",KFC ,Trash,4
"This city’s professional soccer team was the first U.S. team to win the CONCACAF  Champions League. A point guard who spent most of his career playing in this city was the first point guard to win Defensive Player of the Year. The most recent NHL expansion franchise is located in this city, playing at Climate Pledge Arena with this city’s WNBA team, the  Storm. In Super Bowl XLIX , the head coach of this city’s football team was widely criticized for not handing the ball to Marshawn Lynch at the goal line, leading to their loss to the Patriots. For 10 points, name this city home to the Kraken, Sounders, and Seahawks.",Seattle,Trash,4
"“Thiago Silva” is a song by two artists from this country, AJ Tracey and Dave. Backlash from Rina  Sawayama led to a change in the eligibility rules for a prize awarded to artists from this country. Being Funny In A Foreign Language is an album by a band from this country whose earlier songs include “Love It If We Made It” and “Somebody Else;” that band is The  1975. A non-binary singer from this country collaborated with Kim Petras on the song “Unholy.” “Music for a Sushi Restaurant” appears on an album by an artist from this country whose lead single was “As It Was.” For 10 points, name this country home to Sam Smith and Harry Styles.",United Kingdom ,Trash,4
"In 2014, Sean Penn’s design of one of these objects for one company’s auction fundraiser was covered in tattoos and wore sunglasses. The company Jellycat makes smiling versions of these objects, their “amuseables.” Jack the Black Cat is one of the rarest one of these objects ever sold, with other popular ones being Connor the  Cow and Archie the Axolotl. IKEA-produced versions of these objects include Djunkelskog and Blåhaj. The name of a type of these objects was inspired by a hunting trip taken by Theodore Roosevelt. For 10 points, name these soft toys sold by companies like Squishmallows and Build-a-Bear.",stuffed animals ,Trash,4
"On this show, one character and his mother both become Level Five Laser Lotuses before their deaths. In a debate on this show, two characters alternate blowing a raspberry and saying the catchphrase “pop-pop.”This show’s first two season finales feature massive paintball games. In this show’s episode “Remedial Chaos Theory,” a character runs to grab pizza after  rolling a five on a die and returns to find his apartment in flames. The line “dónde está la biblioteca” begins a rap by two characters on this show that host the talk show “Troy and Abed in the Morning.” For 10 points, name this show about a study group at a two-year college in Greendale.",Community,Trash,4
"This country is home to the Hall of Fame of one sport, which is funded by multimillionaire Rex Sinquefield of this country. At the 2022 Olympiad, this country’s team finished 5th behind Uzbekistan and India-2 despite having an average rating 75 points higher than any other team. This country is home to the youngest grandmaster ever, Abhimanyu Mishra. Armenian-born grandmaster  Levon Aronian switched federations to play for this country. Another player for this country offered to play naked following cheating allegations. That player is Hans Niemann. This country’s highest-rated player is streamer Hikaru Nakamura. For 10 points, name this country, whose most famous chess player was Bobby Fischer.",United States of America ,Trash,4
"In one post-match interview, a player from this country stole the mic from a teammate to say “I love Derrick Rose.” Another player from this country was not called up to the 2018 World Cup for blackmailing a compatriot over a sex tape. A song by Vegedream whose title translates to “bring the cup back home”namedrops players from this country. Pelé and a player from this country are the only  teenagers to score in a World Cup final. In the 2006 World Cup final, Marco Materazzi was headbutted by this country’s Zinedine Zidane. For 10 points, what country home to Karim Benzema and Kylian Mbappé lost the 2022 World Cup final to Argentina?",France ,Trash,4
"‘Bullets’ and ‘Nuts’ are terms used within this game. Daniel Negreanu  and Phil Hellmuth are both professional players of this game. The best possible thing to happen for a player in this game has a 1 in  649,739 chance of actually happening. The ‘small blind’ and ‘big blind’ are rotating positions which force people to bet certain amounts of money in this game. The “dead man’s hand” is a legend that exists within this game, and currently describes having black aces and black eights. Hands within this game include a high card, a straight, and a flush. FTP, name this game, which includes variants such as No Limit Texas Hold Em’.",Poker ,Trash,3
"MatPat from Game Theory hypothesised that a fictional town of this TV show was in the state of Oregon. An episode from this TV show sees that fictional town being taken over by a cult known as the ‘movementarians’. Tom Scott made a video where he claimed that this TV show was responsible for changing the lyrics  of ‘Jingle Bells, Batman smells’ in the minds of British children who watched it. The fictional town of this TV show has a long-standing rivalry with its neighbour Shelbyville, and an episode of this TV show is about a group of kids stealing a lemon tree. Prominent businesses from this TV show include the Leftorium, the Kwik-e-Mart, and Moe’s tavern. The halloween themed episodes for this TV show are called ‘Treehouse of Horror’. FTP, name this TV show that includes characters such as Ned Flanders and Homer.",The Simpsons,Trash,3
"After being asked if he would run for President of the United States, this man responded cryptically with “I’m not old enough yet.”. In 2022, this man opposed the overturning of Roe v. Wade, describing it as ""an erosion of women's rights"" and has frequently advocated for stronger gun control. This man was nominated for an Emmy award for Outstanding Interactive Media. When this man created an OnlyFans  account, the influx of people trying to subscribe caused the entire website to crash. Whilst he is best known for his YouTube channel, this man has attempted to branch out into more professional film-making with interactive originals such as ‘A heist with this man’ and ‘In Space with this man’. FTP, name this gaming YouTuber who claims the title “the king of five nights at freddy’s”.",Markiplier ,Trash,3
"The first world championship for this thing was held in 1982 and was won by the American Minh Thai. That world championship was held in Budapest, although another world championship for this thing wouldn’t be held for another 20 years due to a massive drop in popularity. The world record holder for this thing is currently Yusheng Du. The inventor of this thing was a Hungarian professor who  was trying to teach his students about the transformation of individual objects in a 3D space. ‘Revenge’ and ‘Professors’ are both larger 4x4 and 5x5 variants of this thing. FTP, name this cube-shaped puzzle invented by professor Ernő Rubik.",the Rubik’s Cube,Trash,3
"EricVanWilderman and Juniper are YouTubers who primarily make content on this game. Easter eggs within this game include the ‘Vault of Secrets’ and a hidden level known as ‘The Challenge’. The 2.0 Update to this game added moving objects and a new robot gamemode. Robert Topala is the sole developer of this game, although he typically goes under his online username ‘RobTop’. Difficulties  in this game include Easy, Normal, Insane, and Demon levels. Levels in this game include ‘Back on Track’ and ‘Stereo Madness’. FTP, name this game, the most popular 2d side-scrolling platformer on the App Store.",Geometry Dash,Trash,3
"This man originally went by the username ‘Enyay’ a name he now says he regrets ever making. In one video, this man describes a computer programming mistake that he said only warranted the response ‘Oh No’. This man has created multiple game  shows such as ‘Money’ and ‘Lateral’. This man has also created multiple web projects over the years such as the North-o-Meter. This man's most popular video somehow has the amount of views it currently has in the title. Other videos made by this man include one where he visits the Arts Tower and the Icelandic island of Kolbeinsey. FTP, name this educational YouTuber with over 5 million subscribers and who was a really cool University Challenge team captain.",Tom Scott,Trash,3
"Jonas Neubauer is considered to be the greatest ever player of this game. This game owns multiple world records including ‘First Game to be played in Outer Space’. Later versions of this game include names such as Classic, Ultimate, and 99. An effect named after  this game occurs when people play it so much they experience dreams and mental images of the game. Due to its invention in the USSR, the creator of this game did not receive royalties until over a decade after its release. An I-Block is often the most sought after shape in this game for its ability to clear 4 lines at a time. FTP, name this fast-action puzzle game which involves falling rotating blocks.",Tetris,Trash,3
"As of 2023, this show has 9 seasons and a spin-off movie simply called ‘This Show - The Movie’. MatPat from Game Theory believes that one character in this show is in fact a psychopathic villain who creates chaos in order to gain power and respect, and compares him to a capitalistic dictator. Actual villains that have appeared in this show include Gasket  and Mayor Humdinger. Zuma is consistently labelled as the least favourite main character in this show. Locations in this show include Foggy Bottom, although this show is primarily set in the cosy town of Adventure Bay. FTP, name this kids TV show about an emergency service crew composed entirely of dogs.",PAW Patrol,Trash,3
"This is the first number that is not an exponent for a Mersenne prime, it is also the third super-prime number. One comedy sketch involves two Scottish men attempting to yell this number into a voice-controlled Lift. In chemistry, this group number contains elements such as copper, silver, and gold. In Minecraft, this number gives its name to an eerie music  disc that can only be obtained through a skeleton killing a creeper. This number is the amount of full years that Margeret Thatcher was Prime Minister of the UK. This number gives its name to the latest version of Microsoft Windows. FTP, name this number, which is the fifth prime number and the first two-digit palindromic number.",11,Trash,3
"This programme at its peak reached an average of 15 million viewers. Princess Diana once said that “The royal family hate it, but I adore it” referring to this programme. In this programme, ‘stealing other peoples pens’ is referred to as ‘socialism’ and also in this programme Margeret Thatcher’s next door neighbour is  Adolf Hitler. One scene from this programme involves the Xinping Shuffle, where viewers are asked to send in their personal information to the Chinese Communist Party via TikTok. “Commons of House” and“I’ve never met a nice South African” are original songs for this programme. FTP, name this British satirical programme that featured puppets of contemporary political leaders.",Spitting Image,Trash,3
"Some of this man's oldest YouTube videos include ‘MLG Cooking’ and another where he complains about the lack of black people within the video game Minecraft. This man made an appearance in the music video ‘Dolls’ by Bella Poarch, where he played the role of a villain. A web series named after this man  has been described as “a form of live theatre and a Machiavellian political drama”. This man won Gamer of the year 2 years in a row at the Streamy Awards. This man has delved into the music world by releasing songs of his own including Change My Clothes, Roadtrip, and Mask. This man’s Minecraft Manhunts quickly became a fan favourite netting him hundreds of millions of views across the entire manhunt series. FTP, name this Minecraft YouTuber who recently posted a face reveal to the disappointment of billions.",Dream ,Trash,3
"This song is set entirely in the key of F# major, and the start of the chorus to this song goes A#, F#, F#, D#, F#, F#. In the music video to this song, a man saves a dog from a burning house and rescues a woman from a turned over school bus. This song was the last recorded song for a band’s second studio album called ‘Astro Lounge’. In 2020, The New York Times listed this song as #1 in their ‘top ten climate  change songs’. Hank Azaria and Ben Stiller along with many others make appearances within the music video of this song. This song is perhaps most famous for being used as the opening of DreamWorks’ Shrek. FTP, name this song by Smash Mouth that starts with “Somebody once told me the world is gonna roll me”.",All Star by Smash Mouth,Trash,3
"This town was the location of the UK Rubik’s Cube Championships in 2017, 2018, and 2019. This town was featured in a Jay Foreman video where he uses the town as an example of how cycling infrastructure was not necessarily needed. It’s not Milton Keynes, but in 1946, the town was designated the United Kingdom's first ever New  Town under the New Towns Act. King Miguel I of Portugal was said to have temporarily lived in this town, and Lewis Hamilton was born in this town. FTP, name this large town in Hertfordshire, approximately 30 miles north of London.",Stevenage,Trash,3
"One holder of this title was cursed when they traded names with Father Glowworm. That holder of this title was laid-back until his wife was taken by Koh the Face-Stealer. One holder of this title trapped an enemy in the Tree of Time until the next Harmonic Convergence. Holders of this title are connected to Raava  and serve as a conduit to the  spirit world. Tenzin  taught one holder of this title, who defeated Amon  and the Equalists. One holder of this title survived a genocide ordered by Sozin ; that holder of this title defeats Fire Lord Ozai  and marries Katara . For 10 points, name these people like Korra and Aang that can bend fire, air, earth, and water on a Nickelodeon show.",the avatar ,Trash,3
"In one video, the lead singer of this band is repeatedly attacked by his girlfriend played by Anne Vyalitsyna . In another video, this band spends the day crashing and singing at weddings. One song by this band has the lyric, “I want that red velvet.” In another of this band’s songs, the singer laments “writing 200 letters I will never send.” This band’s hit “Sunday Morning” is on its 2002 album  Songs About Jane. In 2022, this band’s frontman was exposed for cheating on his wife, Behati Prinsloo , after he sent an Instagram message reading, “That body of yours is absurd.” For 10 points, “Sugar” and “Misery” are songs by what pop band, which is fronted by Adam Levine?",Maroon 5,Trash,3
"While playing for this team, Kerry Wood threw a record-tying 20 strikeouts in a 1998 game against the Astros. The poem “Baseball’s Sad Lexicon” glamorizes this team’s Joe Tinker, Johnny Evans, and Frank Chance, who often turned double plays. In a 2003 NᐧLᐧCᐧS game against the Marlins, Moises  Alou, an outfielder for this team, dropped a foul after  fan Steve Bartman deflected it. After being expelled from this team’s stadium in 1945, bar owner William Sianis placed the Curse of the Billy Goat, which was broken when this team beat Cleveland in the 2016 World Series. For 10 points, name this baseball team coached by David Ross and whose stars Kyle Hendricks and Ian Happ play home games at Wrigley Field.",Chicago Cubs ,Trash,3
"At this site, in the early 2000s, Martha Burk led a publicized protest against sexist policies. This site was founded on the location of a tree nursery then known as Fruitlands. One feature of this site is nicknamed “Redbud”. The modern design of this site was completed by Alister MacKenzie and Bobby Jones, who completed a feat known as the ""Impregnable Quadrilateral"" in 1930. The  ""Tiger Slam"" was completed on this site in 2001. In 2016, Jordan Spieth had an implosion at this site, scoring a quadruple bogey on hole 12. The winner of an annual event at this site receives a green jacket. For 10 points, name this golf course in Georgia, home to the annual Masters tournament.","Augusta National Golf Club ",Trash,3
"The protagonist of this film has a Proustian  flashback after smelling a box. It's not Uncharted, but the Philippines and Vietnam threatened to ban this movie due to its depiction of the nine-dash line. One character in this film complains they don’t operate the rails after being called a fascist. After the protagonist of this film gets flat feet and  cellulite, a character played by Kate McKinnon teaches them how to cross the membrane around their reality. After reading about the patriarchy, a character played by Ryan Gosling takes over the protagonist’s home, renaming it the Mojo Dojo Casa House. For 10 points, identify this Greta Gerwig film starring Margot Robbie as the title doll.",Barbie ,Trash,3
"One villain on this show constantly listens to words of encouragement on headphones to stay sane. One character on this show is blinded after witnessing her mother’s faked assassination, and later uses the fortress Damocles as a symbol of hatred. While attending Ashford Academy, the protagonist of this show takes the alias Zero and founds the Black Knights. Its first season ends with the protagonist facing  Suzaku  in a cliffhanger. In this show, Japan is renamed Area 11 after it is invaded by Britannia’s army of Knightmare Frames. Its protagonist gains the ability to plant mental commands via eye contact from CC . For 10 points, name this anime about Lelouch  taking over the world.",Code Geass: Lelouch of the Rebellion  ,Trash,3
"This character appeared on the kid’s show “Fundle Bundle” and said they wanted to have 100 kids, so they could have 100 friends. When offered a blind date with Sandy, this character asked “could a rowboat support her?” After trying to win over a client with a gift basket, this character demands, “Where are the turtles?” and drives into a lake. An alter ego of this person said the worst thing about  prison was the Dementors. In the episode “Dinner Party”, this person broke up with Jan Levinson. This person later marries HᐧR rep Holly Flax. Toby Flenderson is the archenemy of this character. For 10 points, name this manager of Dunder Mifflin’s Scranton Branch, who is played by Steve Carrell on NᐧBᐧC’s The Office.",Michael Scott ,Trash,3
